# time px py vx vy
2.64000000 37.33523805 3.14935005 14.14213562 -11.75626438
2.65000000 37.47665940 3.03129690 14.14213562 -11.85436438
2.66000000 37.61808076 2.91226276 14.14213562 -11.95246438
2.67000000 37.75950212 2.79224762 14.14213562 -12.05056438
2.68000000 37.90092347 2.67125147 14.14213562 -12.14866438
2.69000000 38.04234483 2.54927433 14.14213562 -12.24676438
2.70000000 38.18376618 2.42631618 14.14213562 -12.34486438
2.71000000 38.32518754 2.30237704 14.14213562 -12.44296438
2.72000000 38.46660890 2.17745690 14.14213562 -12.54106438
2.73000000 38.60803025 2.05155575 14.14213562 -12.63916438
2.74000000 38.74945161 1.92467361 14.14213562 -12.73726438
2.75000000 38.89087297 1.79681047 14.14213562 -12.83536438
2.76000000 39.03229432 1.66796632 14.14213562 -12.93346438
2.77000000 39.17371568 1.53814118 14.14213562 -13.03156438
2.78000000 39.31513703 1.40733503 14.14213562 -13.12966438
2.79000000 39.45655839 1.27554789 14.14213562 -13.22776438
2.80000000 39.59797975 1.14277975 14.14213562 -13.32586438
2.81000000 39.73940110 1.00903060 14.14213562 -13.42396438
2.82000000 39.88082246 0.87430046 14.14213562 -13.52206438
2.83000000 40.02224382 0.73858932 14.14213562 -13.62016438
2.84000000 40.16366517 0.60189717 14.14213562 -13.71826438
2.85000000 40.30508653 0.46422403 14.14213562 -13.81636438
2.86000000 40.44650788 0.32556988 14.14213562 -13.91446438
2.87000000 40.58792924 0.18593474 14.14213562 -14.01256438
2.88000000 40.72935060 0.04531860 14.14213562 -14.11066438
2.89000000 40.87077195 -0.09627855 14.14213562 -14.20876438
